rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
918,Quien Era Yo?,Música Religiosa,musica_religiosa,quien_era_yo,16,8.94,1,R,https://acordes.lacuerda.net/musica_religiosa/quien_era_yo
919,Reflejo de ti,Alex Campos,alex_campos,reflejo_de_ti,16,8.88,1,R,https://acordes.lacuerda.net/alex_campos/reflejo_de_ti
920,Jesús Salva,Marcos Witt,marcos_witt,jesus_salva,16,8.87,1,R,https://acordes.lacuerda.net/marcos_witt/jesus_salva
921,Como luz llegó,Rojo,rojo,como_luz_llego,16,8.69,1,R,https://acordes.lacuerda.net/rojo/como_luz_llego
922,Hoy quisiera llorar como Pedro,Música Religiosa,musica_religiosa,hoy_quisiera_llorar_como_pedro,16,8.56,1,R,https://acordes.lacuerda.net/musica_religiosa/hoy_quisiera_llorar_como_pedro
923,Mesías mi Salvador,Marcos Witt,marcos_witt,mesias_mi_salvador,16,8.56,1,R,https://acordes.lacuerda.net/marcos_witt/mesias_mi_salvador
924,Llueve,Hillsong United,hillsong_united,llueve,16,8.5,1,R,https://acordes.lacuerda.net/hillsong_united/llueve
925,El Espíritu Santo,Música Religiosa,musica_religiosa,el_espiritu_santo,16,8.23,1,R,https://acordes.lacuerda.net/musica_religiosa/el_espiritu_santo
926,Gozo en tu presencia,Marco Barrientos,marco_barrientos,gozo_en_tu_presencia,16,8.23,1,R,https://acordes.lacuerda.net/marco_barrientos/gozo_en_tu_presencia
927,Te tengo a ti,Marcos Witt,marcos_witt,te_tengo_a_ti,16,8.23,1,R,https://acordes.lacuerda.net/marcos_witt/te_tengo_a_ti
928,Venga tu Reino,Marco Barrientos,marco_barrientos,venga_tu_reino,16,8.19,1,R,https://acordes.lacuerda.net/marco_barrientos/venga_tu_reino
929,Fuente de vida,Marco Barrientos,marco_barrientos,fuente_de_vida,16,8.17,1,R,https://acordes.lacuerda.net/marco_barrientos/fuente_de_vida
930,Cadena Si tuvieras Fé,Música Religiosa,musica_religiosa,cadena_si_tuvieras_fe,16,8.06,1,R,https://acordes.lacuerda.net/musica_religiosa/cadena_si_tuvieras_fe
931,Espiritu de Dios,Música Religiosa,musica_religiosa,espiritu_de_dios,16,8.06,1,R,https://acordes.lacuerda.net/musica_religiosa/espiritu_de_dios
932,Ha vencido el cordero,Música Religiosa,musica_religiosa,ha_vencido_el_cordero,16,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/ha_vencido_el_cordero
933,One Way,Hillsong United,hillsong_united,one_way,16,8.0,1,R,https://acordes.lacuerda.net/hillsong_united/one_way
934,Eres mi todo,Marcela Gandara,marcela_gandara,eres_mi_todo,16,7.87,1,R,https://acordes.lacuerda.net/marcela_gandara/eres_mi_todo
935,Dios te salve María,Música Religiosa,musica_religiosa,dios_te_salve_maria,16,7.75,1,R,https://acordes.lacuerda.net/musica_religiosa/dios_te_salve_maria
936,Alma de Cristo,Música Religiosa,musica_religiosa,alma_de_cristo,16,7.69,1,R,https://acordes.lacuerda.net/musica_religiosa/alma_de_cristo
937,El me levantará,Música Religiosa,musica_religiosa,el_me_levantara,16,7.62,1,R,https://acordes.lacuerda.net/musica_religiosa/el_me_levantara
938,Ahora es el tiempo,Marcos Witt,marcos_witt,ahora_es_el_tiempo,16,7.56,2,R,https://acordes.lacuerda.net/marcos_witt/ahora_es_el_tiempo
939,Su amor es para siempre,Marco Barrientos,marco_barrientos,su_amor_es_para_siempre,16,7.56,1,R,https://acordes.lacuerda.net/marco_barrientos/su_amor_es_para_siempre
940,Señor Quien Puede Entrar,Música Religiosa,musica_religiosa,senior_quien_puede_entrar,16,7.31,1,R,https://acordes.lacuerda.net/musica_religiosa/senior_quien_puede_entrar
941,Que viva Cristo,Música Religiosa,musica_religiosa,que_viva_cristo,16,7.16,1,R,https://acordes.lacuerda.net/musica_religiosa/que_viva_cristo
942,En el nombre del padre,Música Religiosa,musica_religiosa,en_el_nombre_del_padre,16,6.94,1,R,https://acordes.lacuerda.net/musica_religiosa/en_el_nombre_del_padre
943,Tu Reinarás,Música Religiosa,musica_religiosa,tu_reinaras,16,6.14,1,R,https://acordes.lacuerda.net/musica_religiosa/tu_reinaras
944,Hoy  vuelto,Música Religiosa,musica_religiosa,hoy__vuelto,16,4.53,1,R,https://acordes.lacuerda.net/musica_religiosa/hoy__vuelto
945,Eres mi pasión y mi confianza,Rojo,rojo,eres_mi_pasion_y_mi_confianza,15,10.0,2,"T,R",https://acordes.lacuerda.net/rojo/eres_mi_pasion_y_mi_confianza
946,Asombroso / estamos listos,Miel San Marcos,miel_san_marcos,asombroso__estamos_listos,15,10.0,1,R,https://acordes.lacuerda.net/miel_san_marcos/asombroso__estamos_listos
947,Como Lluvia,Alex Campos,alex_campos,como_lluvia,15,9.88,2,"R,T",https://acordes.lacuerda.net/alex_campos/como_lluvia
948,Amigos en verdad,Hillsong United,hillsong_united,amigos_en_verdad,15,9.67,1,R,https://acordes.lacuerda.net/hillsong_united/amigos_en_verdad
949,En majestad,Marco Barrientos,marco_barrientos,en_majestad,15,9.65,1,R,https://acordes.lacuerda.net/marco_barrientos/en_majestad
950,Perdonados,Danilo Montero,danilo_montero,perdonados,15,9.6,2,"R,T",https://acordes.lacuerda.net/danilo_montero/perdonados
951,Fluye,Música Religiosa,musica_religiosa,fluye,15,9.6,1,R,https://acordes.lacuerda.net/musica_religiosa/fluye
952,Con todo mi corazón,Rojo,rojo,con_todo_mi_corazon,15,9.53,1,R,https://acordes.lacuerda.net/rojo/con_todo_mi_corazon
953,Mi Roca,Hillsong United,hillsong_united,mi_roca,15,9.4,1,R,https://acordes.lacuerda.net/hillsong_united/mi_roca
954,Dios de Avivamiento,Bethel Music,bethel_music,dios_de_avivamiento,15,9.33,2,R,https://acordes.lacuerda.net/bethel_music/dios_de_avivamiento
955,Tu Amor,Barak,barak,tu_amor,15,9.33,1,R,https://acordes.lacuerda.net/barak/tu_amor
956,Tocar el cielo,Hillsong United,hillsong_united,tocar_el_cielo,15,9.25,1,R,https://acordes.lacuerda.net/hillsong_united/tocar_el_cielo
957,En tí quiero vivir,Marco Barrientos,marco_barrientos,en_ti_quiero_vivir,15,9.13,1,R,https://acordes.lacuerda.net/marco_barrientos/en_ti_quiero_vivir
958,Everything to me,Hillsong United,hillsong_united,everything_to_me,15,9.13,1,R,https://acordes.lacuerda.net/hillsong_united/everything_to_me
959,Bueno es alabarte Jehová,Música Religiosa,musica_religiosa,bueno_es_alabarte_jehova,15,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/bueno_es_alabarte_jehova
960,Cantamos Aleluya,Marco Barrientos,marco_barrientos,cantamos_aleluya,15,8.93,1,R,https://acordes.lacuerda.net/marco_barrientos/cantamos_aleluya
961,Himno al Amor,Música Religiosa,musica_religiosa,himno_al_amor,15,8.93,1,R,https://acordes.lacuerda.net/musica_religiosa/himno_al_amor
962,Mi Paraiso,Marcela Gandara,marcela_gandara,mi_paraiso,15,8.88,4,"R,T",https://acordes.lacuerda.net/marcela_gandara/mi_paraiso
963,Coronado estás,Marco Barrientos,marco_barrientos,coronado_estas,15,8.8,1,R,https://acordes.lacuerda.net/marco_barrientos/coronado_estas
964,Ayer hoy y siempre,Marcos Witt,marcos_witt,ayer_hoy_y_siempre,15,8.73,1,R,https://acordes.lacuerda.net/marcos_witt/ayer_hoy_y_siempre
965,Agua de vida,Música Religiosa,musica_religiosa,agua_de_vida,15,8.6,1,R,https://acordes.lacuerda.net/musica_religiosa/agua_de_vida
966,Es por tí,Marcos Witt,marcos_witt,es_por_ti,15,8.6,1,R,https://acordes.lacuerda.net/marcos_witt/es_por_ti
967,Mirame Señor,Música Religiosa,musica_religiosa,mirame_senior,15,8.5,1,R,https://acordes.lacuerda.net/musica_religiosa/mirame_senior
968,Lo hiciste por mí,Marco Barrientos,marco_barrientos,lo_hiciste_por_mi,15,8.45,1,R,https://acordes.lacuerda.net/marco_barrientos/lo_hiciste_por_mi
969,Glorifícate,Danilo Montero,danilo_montero,glorificate,15,8.41,2,R,https://acordes.lacuerda.net/danilo_montero/glorificate
970,Por tu sangre,Marcos Witt,marcos_witt,por_tu_sangre,15,8.4,1,R,https://acordes.lacuerda.net/marcos_witt/por_tu_sangre
971,Rey de reyes,Hillsong United,hillsong_united,rey_de_reyes,15,8.4,1,R,https://acordes.lacuerda.net/hillsong_united/rey_de_reyes
972,Renuévame,Música Religiosa,musica_religiosa,renuevame,15,8.33,1,R,https://acordes.lacuerda.net/musica_religiosa/renuevame
