rank,title,artist,artist_slug,song_slug,votes,score,versions,formats,lacuerda_url
2480,Quiero Cantar,Música Religiosa,musica_religiosa,quiero_cantar,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/quiero_cantar
2481,Quiero Más,Generacion 12,generacion_12,quiero_mas,1,10.0,1,R,https://acordes.lacuerda.net/generacion_12/quiero_mas
2482,Quiero más de tí,Generacion 12,generacion_12,quiero_mas_de_ti,1,10.0,1,R,https://acordes.lacuerda.net/generacion_12/quiero_mas_de_ti
2483,Qué puedo darte,Música Religiosa,musica_religiosa,que_puedo_darte,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/que_puedo_darte
2484,Reprise hear our praises/hosanna,Marco Barrientos,marco_barrientos,reprise_hear_our_praiseshosanna,1,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/reprise_hear_our_praiseshosanna
2485,Resplandor,Hillsong United,hillsong_united,resplandor,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/resplandor
2486,Resuene el cielo (hasta la promesa ver),Hillsong United,hillsong_united,resuene_el_cielo_hasta_la_promesa_ver,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/resuene_el_cielo_hasta_la_promesa_ver
2487,Reunidos Aquí,Música Religiosa,musica_religiosa,reunidos_aqui,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/reunidos_aqui
2488,Rey de amor,Hillsong United,hillsong_united,rey_de_amor,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/rey_de_amor
2489,Salmo 100,Música Religiosa,musica_religiosa,salmo_100,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_100
2490,Salmo 134,Música Religiosa,musica_religiosa,salmo_134,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_134
2491,Salmo 22,Música Religiosa,musica_religiosa,salmo_22,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_22
2492,Salmo 51,Música Religiosa,musica_religiosa,salmo_51,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_51
2493,Salmo 63,Música Religiosa,musica_religiosa,salmo_63,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_63
2494,Salmo 63 (Dios mío eres tú),Música Religiosa,musica_religiosa,salmo_63_dios_mio_eres_tu,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_63_dios_mio_eres_tu
2495,Salve María,Música Religiosa,musica_religiosa,salve_maria,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salve_maria
2496,"Salve, santa reina del cielo",Música Religiosa,musica_religiosa,salve_santa_reina_del_cielo,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salve_santa_reina_del_cielo
2497,Santo (Guadalajara),Música Religiosa,musica_religiosa,santo_guadalajara,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/santo_guadalajara
2498,Santo Espíritu,Marcos Witt,marcos_witt,santo_espiritu,1,10.0,1,R,https://acordes.lacuerda.net/marcos_witt/santo_espiritu
2499,Santo del universo,Música Religiosa,musica_religiosa,santo_del_universo,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/santo_del_universo
2500,Santo es el Señor,Hillsong United,hillsong_united,santo_es_el_senior,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/santo_es_el_senior
2501,Se exalta nuestro Dios,Marcos Witt,marcos_witt,se_exalta_nuestro_dios,1,10.0,1,R,https://acordes.lacuerda.net/marcos_witt/se_exalta_nuestro_dios
2502,Second Chance,Hillsong United,hillsong_united,second_chance,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/second_chance
2503,Secuencia al Espíritu Santo,Música Religiosa,musica_religiosa,secuencia_al_espiritu_saanto,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/secuencia_al_espiritu_saanto
2504,Sendas antiguas,Marcos Witt,marcos_witt,sendas_antiguas,1,10.0,1,R,https://acordes.lacuerda.net/marcos_witt/sendas_antiguas
2505,"Señor, te damos gracias",Música Religiosa,musica_religiosa,senior_te_damos_gracias,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/senior_te_damos_gracias
2506,Shema Israel,Música Religiosa,musica_religiosa,shema_israel,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/shema_israel
2507,Si fui motivo de dolor,Música Religiosa,musica_religiosa,si_fui_motivo_de_dolor,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/si_fui_motivo_de_dolor
2508,Siempre seremos amigos,Marcos Witt,marcos_witt,siempre_seremos_amigos,1,10.0,1,R,https://acordes.lacuerda.net/marcos_witt/siempre_seremos_amigos
2509,Sigue aún confiando,Música Religiosa,musica_religiosa,sigue_aun_confiando,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/sigue_aun_confiando
2510,Solo jamás caminaré,Hillsong United,hillsong_united,solo_jamas_caminare,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/solo_jamas_caminare
2511,Somos Iglesia,Música Religiosa,musica_religiosa,somos_iglesia,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/somos_iglesia
2512,Su palabra es paz,Música Religiosa,musica_religiosa,su_palabra_es_paz,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/su_palabra_es_paz
2513,Sé como el grano de trigo que cae,Música Religiosa,musica_religiosa,se_como_el_grano_de_trigo_que_cae,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/se_como_el_grano_de_trigo_que_cae
2514,Sólo Cristo,Música Religiosa,musica_religiosa,solo_cristo,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/solo_cristo
2515,Sólo Quiero,Generacion 12,generacion_12,solo_quiero,1,10.0,1,R,https://acordes.lacuerda.net/generacion_12/solo_quiero
2516,Sólo tú Señor Jesús,Marcos Witt,marcos_witt,solo_tu_senior_jesus,1,10.0,1,R,https://acordes.lacuerda.net/marcos_witt/solo_tu_senior_jesus
2517,Te adoro Señor,Música Religiosa,musica_religiosa,te_adoro_senior,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/te_adoro_senior
2518,Te doy mi corazón,Generacion 12,generacion_12,te_doy_mi_corazon,1,10.0,1,R,https://acordes.lacuerda.net/generacion_12/te_doy_mi_corazon
2519,Te entiendo,Música Religiosa,musica_religiosa,te_entiendo,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/te_entiendo
2520,Te quiero conocer,Alex Campos,alex_campos,te_quiero_conocer,1,10.0,1,R,https://acordes.lacuerda.net/alex_campos/te_quiero_conocer
2521,Ten piedad de mí,Música Religiosa,musica_religiosa,ten_piedad_de_mi,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/ten_piedad_de_mi
2522,The freedom we know,Hillsong United,hillsong_united,the_freedom_we_know,1,10.0,1,B,https://acordes.lacuerda.net/hillsong_united/the_freedom_we_know
2523,The lost are found,Hillsong United,hillsong_united,the_lost_are_found,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/the_lost_are_found
2524,Through it all,Hillsong United,hillsong_united,through_it_all,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/through_it_all
2525,Tierno amor,Marco Barrientos,marco_barrientos,tierno_amor,1,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/tierno_amor
2526,Tierra Fróa,Música Religiosa,musica_religiosa,tierra_froa,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/tierra_froa
2527,To know your name,Hillsong United,hillsong_united,to_know_your_name,1,10.0,1,T,https://acordes.lacuerda.net/hillsong_united/to_know_your_name
2528,Todos unidos formando un sólo cuerpo,Música Religiosa,musica_religiosa,todos_unidos_formando_un_solo_cuerpo,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/todos_unidos_formando_un_solo_cuerpo
2529,Toma nuestras vidas,Música Religiosa,musica_religiosa,toma_nuestras_vidas,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/toma_nuestras_vidas
2530,Trae tu libertad,Generacion 12,generacion_12,trae_tu_libertad,1,10.0,1,R,https://acordes.lacuerda.net/generacion_12/trae_tu_libertad
2531,Trotrecillo a la Virgen Candelaria,Música Religiosa,musica_religiosa,trotrecillo_a_la_virgen_candelaria,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/trotrecillo_a_la_virgen_candelaria
2532,Tu gran fidelidad,Hillsong United,hillsong_united,tu_gran_fidelidad,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/tu_gran_fidelidad
2533,Tu sangre me limpia,Marco Barrientos,marco_barrientos,tu_sangre_me_limpia,1,10.0,1,R,https://acordes.lacuerda.net/marco_barrientos/tu_sangre_me_limpia
2534,Tus Pensamientos,Generacion 12,generacion_12,tus_pensamientos,1,10.0,1,R,https://acordes.lacuerda.net/generacion_12/tus_pensamientos
2535,Tuyo Soy,Generacion 12,generacion_12,tuyo_soy,1,10.0,1,R,https://acordes.lacuerda.net/generacion_12/tuyo_soy
2536,Tú eres mi señor,Música Religiosa,musica_religiosa,tu_eres_mi_senior,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/tu_eres_mi_senior
2537,Tú eres santo,La IBI,ibi,tu_eres_santo,1,10.0,1,R,https://acordes.lacuerda.net/ibi/tu_eres_santo
2538,Ven adora,Música Religiosa,musica_religiosa,ven_adora,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/ven_adora
2539,Vendrás,Hillsong United,hillsong_united,vendras,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/vendras
2540,Venga tu Reino,La IBI,ibi,venga_tu_reino,1,10.0,1,R,https://acordes.lacuerda.net/ibi/venga_tu_reino
2541,Vengan a verlo,Música Religiosa,musica_religiosa,vengan_a_verlo,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/vengan_a_verlo
2542,Viene un rey,Generacion 12,generacion_12,viene_un_rey,1,10.0,1,R,https://acordes.lacuerda.net/generacion_12/viene_un_rey
2543,Viniste al Mundo,Música Religiosa,musica_religiosa,viniste_al_mundo,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/viniste_al_mundo
2544,Virgen Fiel,Música Religiosa,musica_religiosa,virgen_fiel,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/virgen_fiel
2545,Virgencita de Caacupé,Música Religiosa,musica_religiosa,virgencita_de_caacupe,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/virgencita_de_caacupe
2546,Vive Feliz,Música Religiosa,musica_religiosa,vive_feliz,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/vive_feliz
2547,Welcome in this place,Hillsong United,hillsong_united,welcome_in_this_place,1,10.0,1,R,https://acordes.lacuerda.net/hillsong_united/welcome_in_this_place
2548,Where we belong,Hillsong United,hillsong_united,where_we_belong,1,10.0,1,T,https://acordes.lacuerda.net/hillsong_united/where_we_belong
2549,Yo creí,Música Religiosa,musica_religiosa,yo_crei,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/yo_crei
2550,Yo soy la puerta,Música Religiosa,musica_religiosa,yo_soy_la_puerta,1,10.0,1,R,https://acordes.lacuerda.net/musica_religiosa/yo_soy_la_puerta
2551,Al rey hosanna,Marcos Witt,marcos_witt,al_rey_hosanna,1,9.0,1,R,https://acordes.lacuerda.net/marcos_witt/al_rey_hosanna
2552,Arde en mi espíritu,Marco Barrientos,marco_barrientos,arde_en_mi_espiritu,1,9.0,1,R,https://acordes.lacuerda.net/marco_barrientos/arde_en_mi_espiritu
2553,Balsamo de Galaad,Marco Barrientos,marco_barrientos,balsamo_de_galaad,1,9.0,1,R,https://acordes.lacuerda.net/marco_barrientos/balsamo_de_galaad
2554,Blanco Pan,Música Religiosa,musica_religiosa,blanco_pan,1,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/blanco_pan
2555,Dios en todo tiempo,Marcos Witt,marcos_witt,dios_en_todo_tiempo,1,9.0,1,R,https://acordes.lacuerda.net/marcos_witt/dios_en_todo_tiempo
2556,Gracias Cristo,La IBI,ibi,gracias_cristo,1,9.0,1,R,https://acordes.lacuerda.net/ibi/gracias_cristo
2557,Hoy tu espíritu Señor,Música Religiosa,musica_religiosa,hoy_tu_espiritu_senior,1,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/hoy_tu_espiritu_senior
2558,Luchemos Hermanos,Música Religiosa,musica_religiosa,luchemos_hermanos,1,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/luchemos_hermanos
2559,Me Rindo,Generacion 12,generacion_12,me_rindo,1,9.0,1,R,https://acordes.lacuerda.net/generacion_12/me_rindo
2560,Regalo Celestial,Marcos Witt,marcos_witt,regalo_celestial,1,9.0,1,R,https://acordes.lacuerda.net/marcos_witt/regalo_celestial
2561,Salmos 63,Música Religiosa,musica_religiosa,salmos_63,1,9.0,1,R,https://acordes.lacuerda.net/musica_religiosa/salmos_63
2562,Soy Valiente,Alex Campos,alex_campos,soy_valiente,1,9.0,1,R,https://acordes.lacuerda.net/alex_campos/soy_valiente
2563,Algunos prefieren seguir,Marco Barrientos,marco_barrientos,algunos_prefieren_seguir,1,8.75,1,R,https://acordes.lacuerda.net/marco_barrientos/algunos_prefieren_seguir
2564,Gloria y Majestad,Marco Barrientos,marco_barrientos,gloria_y_majestad,1,8.75,1,R,https://acordes.lacuerda.net/marco_barrientos/gloria_y_majestad
2565,Mi redentor vive,Hillsong United,hillsong_united,mi_redentor_vive,1,8.75,1,R,https://acordes.lacuerda.net/hillsong_united/mi_redentor_vive
2566,Salmo 66,Música Religiosa,musica_religiosa,salmo_66,1,8.75,1,R,https://acordes.lacuerda.net/musica_religiosa/salmo_66
2567,Soon (pronto),Hillsong United,hillsong_united,soon_pronto,1,8.75,1,R,https://acordes.lacuerda.net/hillsong_united/soon_pronto
2568,A ti adoramos,Bethel Music,bethel_music,a_ti_adoramos,1,8.0,2,R,https://acordes.lacuerda.net/bethel_music/a_ti_adoramos
2569,Banquete del Señor,Música Religiosa,musica_religiosa,banquete_del_senior,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/banquete_del_senior
2570,Can't live a day,Hillsong United,hillsong_united,cant_live_a_day,1,8.0,1,R,https://acordes.lacuerda.net/hillsong_united/cant_live_a_day
2571,Conoce Señor mi corazón (salmo 138),Música Religiosa,musica_religiosa,conoce_senior_mi_corazon_salmo_138,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/conoce_senior_mi_corazon_salmo_138
2572,Consolad,Música Religiosa,musica_religiosa,consolad,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/consolad
2573,Cordero Panamericano,Música Religiosa,musica_religiosa,cordero_panamericano,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/cordero_panamericano
2574,Cristo tiene la respuesta,Música Religiosa,musica_religiosa,cristo_tiene_la_respuesta,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/cristo_tiene_la_respuesta
2575,Dame más de ti,Tercer Cielo,tercer_cielo,dame_mas_de_ti,1,8.0,1,R,https://acordes.lacuerda.net/tercer_cielo/dame_mas_de_ti
2576,Dios de alianzas,Marcos Witt,marcos_witt,dios_de_alianzas,1,8.0,1,R,https://acordes.lacuerda.net/marcos_witt/dios_de_alianzas
2577,El Pastorcito,Música Religiosa,musica_religiosa,el_pastorcito,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/el_pastorcito
2578,Es su amor,Alex Campos,alex_campos,es_su_amor,1,8.0,1,R,https://acordes.lacuerda.net/alex_campos/es_su_amor
2579,Es tiempo pa brincar,Marcos Witt,marcos_witt,es_tiempo_pa_brincar,1,8.0,1,R,https://acordes.lacuerda.net/marcos_witt/es_tiempo_pa_brincar
2580,GetsemanÍ,Música Religiosa,musica_religiosa,getsemani,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/getsemani
2581,La paz,Música Religiosa,musica_religiosa,la_paz,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/la_paz
2582,Listo o no,Hillsong United,hillsong_united,listo_o_no,1,8.0,1,R,https://acordes.lacuerda.net/hillsong_united/listo_o_no
2583,María siempre virgen,Música Religiosa,musica_religiosa,maria_siempre_virgen,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/maria_siempre_virgen
2584,Mañanitas a la Virgen de Guadalupe,Música Religiosa,musica_religiosa,manianitas_a_la_virgen_de_guadalupe,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/manianitas_a_la_virgen_de_guadalupe
2585,Me entrego a tí,Marco Barrientos,marco_barrientos,me_entrego_a_ti,1,8.0,1,R,https://acordes.lacuerda.net/marco_barrientos/me_entrego_a_ti
2586,Mi Dios es grande y fuerte,Marcos Witt,marcos_witt,mi_dios_es_grande_y_fuerte,1,8.0,1,R,https://acordes.lacuerda.net/marcos_witt/mi_dios_es_grande_y_fuerte
2587,Mi socorro y mi bien,Marco Barrientos,marco_barrientos,mi_socorro_y_mi_bien,1,8.0,1,R,https://acordes.lacuerda.net/marco_barrientos/mi_socorro_y_mi_bien
2588,Misericordia Señor,Música Religiosa,musica_religiosa,misericordia_senior,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/misericordia_senior
2589,Necesitas Conocerle,Marcos Witt,marcos_witt,necesitas_conocerle,1,8.0,1,R,https://acordes.lacuerda.net/marcos_witt/necesitas_conocerle
2590,Para ti Jesús,Hillsong United,hillsong_united,para_ti_jesus,1,8.0,1,R,https://acordes.lacuerda.net/hillsong_united/para_ti_jesus
2591,Reinas,Hillsong United,hillsong_united,reinas,1,8.0,1,R,https://acordes.lacuerda.net/hillsong_united/reinas
2592,Rumba a la virgen,Música Religiosa,musica_religiosa,rumba_a_la_virgen,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/rumba_a_la_virgen
2593,Sólo Tú,Hillsong United,hillsong_united,solo_tu,1,8.0,1,R,https://acordes.lacuerda.net/hillsong_united/solo_tu
2594,Tu Palabra,Para su Gloria,para_su_gloria,tu_palabra,1,8.0,1,R,https://acordes.lacuerda.net/para_su_gloria/tu_palabra
2595,Vamos mis hermanos peregrinos,Música Religiosa,musica_religiosa,vamos_mis_hermanos_peregrinos,1,8.0,1,R,https://acordes.lacuerda.net/musica_religiosa/vamos_mis_hermanos_peregrinos
2596,Que se goze el pueblo,Música Religiosa,musica_religiosa,que_se_goze_el_pueblo,1,7.25,1,R,https://acordes.lacuerda.net/musica_religiosa/que_se_goze_el_pueblo
2597,Yo me manifestaré,Marco Barrientos,marco_barrientos,yo_me_manifestare,1,7.25,1,R,https://acordes.lacuerda.net/marco_barrientos/yo_me_manifestare
2598,Confío en El,Hillsong United,hillsong_united,confio_en_el,1,7.0,1,R,https://acordes.lacuerda.net/hillsong_united/confio_en_el
2599,From god above,Hillsong United,hillsong_united,from_god_above,1,7.0,1,R,https://acordes.lacuerda.net/hillsong_united/from_god_above
2600,His Love,Hillsong United,hillsong_united,his_love,1,7.0,1,B,https://acordes.lacuerda.net/hillsong_united/his_love
2601,Juntos,Danilo Montero,danilo_montero,juntos,1,7.0,1,R,https://acordes.lacuerda.net/danilo_montero/juntos
2602,Me Alcanzarás,Marco Barrientos,marco_barrientos,me_alcanzaras,1,7.0,1,R,https://acordes.lacuerda.net/marco_barrientos/me_alcanzaras
2603,Mi Futuro,Hillsong United,hillsong_united,mi_futuro,1,7.0,1,R,https://acordes.lacuerda.net/hillsong_united/mi_futuro
2604,Misael Jiménez,Marcela Gandara,marcela_gandara,misael_jimenez,1,7.0,1,R,https://acordes.lacuerda.net/marcela_gandara/misael_jimenez
2605,Necesito tu amor,Hillsong United,hillsong_united,necesito_tu_amor,1,7.0,1,R,https://acordes.lacuerda.net/hillsong_united/necesito_tu_amor
2606,"Perdón, perdón, perdóname Señor",Música Religiosa,musica_religiosa,perdon_perdon_perdoname_senior,1,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/perdon_perdon_perdoname_senior
2607,Pertenezco a tí,Hillsong United,hillsong_united,pertenezco_a_ti,1,7.0,1,R,https://acordes.lacuerda.net/hillsong_united/pertenezco_a_ti
2608,Por respuesta un si,Música Religiosa,musica_religiosa,por_respuesta_un_si,1,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/por_respuesta_un_si
2609,Quien es como tu?,Marcos Witt,marcos_witt,quien_es_como_tu,1,7.0,1,R,https://acordes.lacuerda.net/marcos_witt/quien_es_como_tu
2610,Señor tu nombre es grande,Música Religiosa,musica_religiosa,senior_tu_nombre_es_grande,1,7.0,1,R,https://acordes.lacuerda.net/musica_religiosa/senior_tu_nombre_es_grande
2611,Si pues habeis resucitado,Danilo Montero,danilo_montero,si_pues_habeis_resucitado,1,7.0,1,R,https://acordes.lacuerda.net/danilo_montero/si_pues_habeis_resucitado
2612,Te Amo,Alex Campos,alex_campos,te_amo,1,7.0,1,R,https://acordes.lacuerda.net/alex_campos/te_amo
2613,Y hoy veniste a mí,Marco Barrientos,marco_barrientos,y_hoy_veniste_a_mi,1,7.0,1,R,https://acordes.lacuerda.net/marco_barrientos/y_hoy_veniste_a_mi
2614,Buen Pastor,Música Religiosa,musica_religiosa,buen_pastor,1,6.75,1,R,https://acordes.lacuerda.net/musica_religiosa/buen_pastor
2615,Mi Fueza Y Mi Castillo,Música Religiosa,musica_religiosa,mi_fueza_y_mi_castillo,1,6.75,1,R,https://acordes.lacuerda.net/musica_religiosa/mi_fueza_y_mi_castillo
2616,Celebrad al señor,Marco Barrientos,marco_barrientos,celebrad_al_senior,1,6.25,1,R,https://acordes.lacuerda.net/marco_barrientos/celebrad_al_senior
2617,Canción del decierto,Hillsong United,hillsong_united,cancion_del_decierto,1,6.0,1,R,https://acordes.lacuerda.net/hillsong_united/cancion_del_decierto
2618,En este pequeño pan,Música Religiosa,musica_religiosa,en_este_pequenio_pan,1,6.0,1,R,https://acordes.lacuerda.net/musica_religiosa/en_este_pequenio_pan
2619,Id y proclamad,Música Religiosa,musica_religiosa,id_y_proclamad,1,6.0,1,R,https://acordes.lacuerda.net/musica_religiosa/id_y_proclamad
2620,Mi deseo eres tú,Danilo Montero,danilo_montero,mi_deseo_eres_tu,1,6.0,1,R,https://acordes.lacuerda.net/danilo_montero/mi_deseo_eres_tu
2621,Oh pecador,Música Religiosa,musica_religiosa,oh_pecador,1,6.0,1,R,https://acordes.lacuerda.net/musica_religiosa/oh_pecador
2622,Todo lo que anhelo,Hillsong United,hillsong_united,todo_lo_que_anhelo,1,6.0,1,R,https://acordes.lacuerda.net/hillsong_united/todo_lo_que_anhelo
2623,Ave de Lourdes,Música Religiosa,musica_religiosa,ave_de_lourdes,1,5.0,1,R,https://acordes.lacuerda.net/musica_religiosa/ave_de_lourdes
2624,Gloria demos al nombre de Dios,Marco Barrientos,marco_barrientos,gloria_demos_al_nombre_de_dios,1,5.0,1,R,https://acordes.lacuerda.net/marco_barrientos/gloria_demos_al_nombre_de_dios
2625,Río poderoso,Marco Barrientos,marco_barrientos,rio_poderoso,1,5.0,1,R,https://acordes.lacuerda.net/marco_barrientos/rio_poderoso
2626,Por tu nombre,Hillsong United,hillsong_united,por_tu_nombre,1,3.0,1,R,https://acordes.lacuerda.net/hillsong_united/por_tu_nombre
2627,Un día en tu Presencia,Marco Barrientos,marco_barrientos,un_dia_en_tu_presencia,1,3.0,1,R,https://acordes.lacuerda.net/marco_barrientos/un_dia_en_tu_presencia
2628,Diez Leyes,Música Religiosa,musica_religiosa,diez_leyes,1,1.0,1,R,https://acordes.lacuerda.net/musica_religiosa/diez_leyes
2629,Echoes,Hillsong United,hillsong_united,echoes,1,1.0,1,R,https://acordes.lacuerda.net/hillsong_united/echoes
2630,El buen pastor,Música Religiosa,musica_religiosa,el_buen_pastor,1,1.0,1,R,https://acordes.lacuerda.net/musica_religiosa/el_buen_pastor
2631,El hijo de la verdad,Música Religiosa,musica_religiosa,el_hijo_de_la_verdad,1,1.0,1,R,https://acordes.lacuerda.net/musica_religiosa/el_hijo_de_la_verdad
2632,En esto creo (el credo),Hillsong United,hillsong_united,en_esto_creo_el_credo,1,1.0,1,R,https://acordes.lacuerda.net/hillsong_united/en_esto_creo_el_credo
2633,En tu nombre,Música Religiosa,musica_religiosa,en_tu_nombre,1,1.0,1,R,https://acordes.lacuerda.net/musica_religiosa/en_tu_nombre
2634,La puerta de la fé,Marcos Witt,marcos_witt,la_puerta_de_la_fe,1,1.0,1,R,https://acordes.lacuerda.net/marcos_witt/la_puerta_de_la_fe
2635,Mi valiente guerrero,Alex Campos,alex_campos,mi_valiente_guerrero,1,1.0,1,R,https://acordes.lacuerda.net/alex_campos/mi_valiente_guerrero
2636,No Sé,Generacion 12,generacion_12,no_se,1,1.0,1,R,https://acordes.lacuerda.net/generacion_12/no_se
2637,Para siempre te bendeciré,Marco Barrientos,marco_barrientos,para_siempre_te_bendecire,1,1.0,1,R,https://acordes.lacuerda.net/marco_barrientos/para_siempre_te_bendecire
2638,Protegeme Dios mío,Música Religiosa,musica_religiosa,protegeme_dios_mio,1,1.0,1,R,https://acordes.lacuerda.net/musica_religiosa/protegeme_dios_mio
2639,Un feliz cumpleaños,Música Religiosa,musica_religiosa,un_feliz_cumpleanios,1,1.0,1,R,https://acordes.lacuerda.net/musica_religiosa/un_feliz_cumpleanios
2640,"Yo te doy gracias, yo te doy",Música Religiosa,musica_religiosa,yo_te_doy_gracias_yo_te_doy,1,1.0,1,R,https://acordes.lacuerda.net/musica_religiosa/yo_te_doy_gracias_yo_te_doy
2641,"A ti, el alfa y la omega",Marcos Witt,marcos_witt,a_ti_el_alfa_y_la_omega,0,0.0,2,T,https://acordes.lacuerda.net/marcos_witt/a_ti_el_alfa_y_la_omega
2642,A una voz,Marcos Witt,marcos_witt,a_una_voz,0,0.0,2,R,https://acordes.lacuerda.net/marcos_witt/a_una_voz
2643,Alabad a Jehová,Marcos Witt,marcos_witt,alabad_a_jehova,0,0.0,2,R,https://acordes.lacuerda.net/marcos_witt/alabad_a_jehova
2644,A ti sea la gloria,Para su Gloria,para_su_gloria,a_ti_sea_la_gloria,0,0.0,1,R,https://acordes.lacuerda.net/para_su_gloria/a_ti_sea_la_gloria
2645,Ahí estaba Cristo,Alex Campos,alex_campos,ahi_estaba_cristo,0,0.0,1,R,https://acordes.lacuerda.net/alex_campos/ahi_estaba_cristo
2646,Al pueblo de Dios,Música Religiosa,musica_religiosa,al_pueblo_de_dios,0,0.0,1,R,https://acordes.lacuerda.net/musica_religiosa/al_pueblo_de_dios
2647,Al que entregó su vida,Hillsong United,hillsong_united,al_que_entrego_su_vida,0,0.0,1,R,https://acordes.lacuerda.net/hillsong_united/al_que_entrego_su_vida
2648,Aleluya Boda,Música Religiosa,musica_religiosa,aleluya_boda,0,0.0,1,R,https://acordes.lacuerda.net/musica_religiosa/aleluya_boda
2649,"Amigo ven, sígueme",Música Religiosa,musica_religiosa,amigo_ven_sigueme,0,0.0,1,R,https://acordes.lacuerda.net/musica_religiosa/amigo_ven_sigueme
2650,Amor Sincero,Música Religiosa,musica_religiosa,amor_sincero,0,0.0,1,R,https://acordes.lacuerda.net/musica_religiosa/amor_sincero
2651,Angeles cantando están,Jesus Adrian Romero,jesus_adrian_romero,angeles_cantando_estan,0,0.0,1,R,https://acordes.lacuerda.net/jesus_adrian_romero/angeles_cantando_estan
2652,Aquí Estoy Señor,Música Religiosa,musica_religiosa,aqui_estoy_senior,0,0.0,1,R,https://acordes.lacuerda.net/musica_religiosa/aqui_estoy_senior
2653,Así te Ahnelo,Jesus Adrian Romero,jesus_adrian_romero,asi_te_ahnelo,0,0.0,1,R,https://acordes.lacuerda.net/jesus_adrian_romero/asi_te_ahnelo
